,Unnamed: 0,Unnamed: 0.1,state,city,song,artist,uris,popularity,date,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
37,37,37.0, New Mexico,Tucumcari,Hungry Man,Louis Jordan,spotify:track:1tJinqXEWcCqRlJ9fVsmf1,6,2007-03-20,,,,,,,,,,,,,,,,,,,,0.663,0.624,0.0,-7.519,1.0,0.0893,0.323,0.0,0.0505,0.69,114.573,audio_features,1tJinqXEWcCqRlJ9fVsmf1,spotify:track:1tJinqXEWcCqRlJ9fVsmf1,https://api.spotify.com/v1/tracks/1tJinqXEWcCqRlJ9fVsmf1,https://api.spotify.com/v1/audio-analysis/1tJinqXEWcCqRlJ9fVsmf1,390947.0,3.0,
38,38,38.0, New Mexico,Tucumcari,I Don't Care,Justin Townes Earle,spotify:track:2ElL60w27sTQ4SaSEcXFO0,21,2008-03-25,,,,,,,,,,,,,,,,,,,,0.394,0.453,1.0,-8.456,1.0,0.0343,0.639,0.0,0.102,0.697,198.121,audio_features,2ElL60w27sTQ4SaSEcXFO0,spotify:track:2ElL60w27sTQ4SaSEcXFO0,https://api.spotify.com/v1/tracks/2ElL60w27sTQ4SaSEcXFO0,https://api.spotify.com/v1/audio-analysis/2ElL60w27sTQ4SaSEcXFO0,114573.0,4.0,
39,39,39.0, New Mexico,Tucumcari,Il Treno a Tucumcari,Bloodhorse,spotify:track:0Leiz97oLnz3iFvRdWmtYO,1,2007-07-24,,,,,,,,,,,,,,,,,,,,0.183,0.898,10.0,-6.565,0.0,0.0614,6.84e-05,0.429,0.26,0.156,104.901,audio_features,0Leiz97oLnz3iFvRdWmtYO,spotify:track:0Leiz97oLnz3iFvRdWmtYO,https://api.spotify.com/v1/tracks/0Leiz97oLnz3iFvRdWmtYO,https://api.spotify.com/v1/audio-analysis/0Leiz97oLnz3iFvRdWmtYO,259760.0,4.0,
40,40,40.0, New Mexico,Tucumcari,Last Hobo,John Denver,spotify:track:5zWfU0cxr742qWXL8KbNyE,11,1997-08-26,,,,,,,,,,,,,,,,,,,,0.543,0.427,4.0,-11.528,1.0,0.0331,0.0198,5.97e-05,0.38,0.532,76.747,audio_features,5zWfU0cxr742qWXL8KbNyE,spotify:track:5zWfU0cxr742qWXL8KbNyE,https://api.spotify.com/v1/tracks/5zWfU0cxr742qWXL8KbNyE,https://api.spotify.com/v1/audio-analysis/5zWfU0cxr742qWXL8KbNyE,200493.0,4.0,
41,41,41.0, New Mexico,Tucumcari,Ode to the Road,By Larry Gatlin,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,42.0, New Mexico,Tucumcari,Route 40,Leslie Fish,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,43.0, New Mexico,Tucumcari,Route 66,Perry Como,spotify:track:2OoEgzwoCVJ4LP4x86eBdG,0,2011-12-02,,,,,,,,,,,,,,,,,,,,0.663,0.49,7.0,-9.423,1.0,0.0471,0.655,0.000103,0.181,0.521,150.932,audio_features,2OoEgzwoCVJ4LP4x86eBdG,spotify:track:2OoEgzwoCVJ4LP4x86eBdG,https://api.spotify.com/v1/tracks/2OoEgzwoCVJ4LP4x86eBdG,https://api.spotify.com/v1/audio-analysis/2OoEgzwoCVJ4LP4x86eBdG,296594.0,4.0,
44,44,44.0, New Mexico,Tucumcari,Truckstop Gospel,Parker Millsap,spotify:track:148SoRvuBBJrp32LMS4aEk,30,2014-02-04,,,,,,,,,,,,,,,,,,,,0.497,0.855,9.0,-3.714,1.0,0.0521,0.0742,2.97e-05,0.255,0.855,176.062,audio_features,148SoRvuBBJrp32LMS4aEk,spotify:track:148SoRvuBBJrp32LMS4aEk,https://api.spotify.com/v1/tracks/148SoRvuBBJrp32LMS4aEk,https://api.spotify.com/v1/audio-analysis/148SoRvuBBJrp32LMS4aEk,242507.0,4.0,
45,45,45.0, New Mexico,Tucumcari,Tucumcari,Cex,spotify:track:1O3D6X3TUTJbKejcPPH11n,1,2006-01-01,,,,,,,,,,,,,,,,,,,,0.0637,0.177,2.0,-17.256,0.0,0.0411,0.971,0.899,0.117,0.0363,68.924,audio_features,1O3D6X3TUTJbKejcPPH11n,spotify:track:1O3D6X3TUTJbKejcPPH11n,https://api.spotify.com/v1/tracks/1O3D6X3TUTJbKejcPPH11n,https://api.spotify.com/v1/audio-analysis/1O3D6X3TUTJbKejcPPH11n,284147.0,4.0,
46,46,46.0, New Mexico,Tucumcari,Tucumcari,Freedy Johnston,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,47.0, New Mexico,Tucumcari,Tucumcari,Hugues Aufray,spotify:track:0I5LIDeb1OquaJDzDyeE2q,0,2019-05-15,,,,,,,,,,,,,,,,,,,,0.758,0.468,9.0,-10.592,0.0,0.0486,0.747,0.0,0.29,0.842,113.177,audio_features,0I5LIDeb1OquaJDzDyeE2q,spotify:track:0I5LIDeb1OquaJDzDyeE2q,https://api.spotify.com/v1/tracks/0I5LIDeb1OquaJDzDyeE2q,https://api.spotify.com/v1/audio-analysis/0I5LIDeb1OquaJDzDyeE2q,125371.0,4.0,
48,48,48.0, New Mexico,Tucumcari,Tucumcari,Jimmie Rodgers,spotify:track:1kkA3PE0tEezpqh7VYEo54,8,1990,,,,,,,,,,,,,,,,,,,,0.708,0.3,9.0,-13.601,0.0,0.0314,0.664,0.0,0.0827,0.965,105.069,audio_features,1kkA3PE0tEezpqh7VYEo54,spotify:track:1kkA3PE0tEezpqh7VYEo54,https://api.spotify.com/v1/tracks/1kkA3PE0tEezpqh7VYEo54,https://api.spotify.com/v1/audio-analysis/1kkA3PE0tEezpqh7VYEo54,135267.0,4.0,
