,song_state,song_artist,song_name,uris,duration_ms,popularity,date
126,New York,The Doors,The Peking King and the New York Queen,spotify:track:7tP0qKDHEfzMsKIsOzCKmg,389653,24,1972-07-17
127,New York,Cleo Laine,"New York, New York",spotify:track:7nBnX3l5w3wF87PW1etpQr,215600,44,2009-11-16
128,New York,Ray Charles,New York's My Home,error,error,error,error
129,New York,Fausto Papetti,"New York, New York",spotify:track:3DNeimn2w6622oQlJaFc8b,214706,26,2016-02-02
130,New York,The Chainsmokers,New York City,spotify:track:4v1CvZazmdpxQLEt3sCeKH,230666,55,2015-10-30
131,New York,David Bowie,New York's in Love,spotify:track:3YcTIsCP4dmLWID1RdCI7s,274533,19,1987-04-20
132,New York,RZA,NYC Crack,spotify:track:2mdc2ntxcCi2oJJrjQ3RqS,199973,20,2009-06-30
133,New York,Grandmaster Flash,"1, 2, 3...Rhymes Galore",spotify:track:6gThYAyFD8FdBuQWfDsQ8K,202826,34,2001-08-10
134,New York,Night Ranger,New York Time,spotify:track:7rU2ZT6SWBwpfD2qpCbr7M,280450,14,1997-06-13
135,New York,The Notorious B.I.G.,NYC,spotify:track:16Uo6RlrDDrrDai2Z7DOjM,211986,38,2017-05-19
136,New York,Nas,N.Y. State of Mind,spotify:track:5zwz05jkQVT68CjUpPwFZe,293973,66,1994
137,New York,Pet Shop Boys,New York City Boy [Radio Edit],error,error,error,error
138,New York,Paul Kossoff,"New York, New York",spotify:track:3TPM942bMXrEnCPym6vL7i,295000,44,2016-07-21
139,New York,Wonderwall,Jonny,spotify:track:0Pji8QMYTxIfd1KIPBXGeg,208613,16,2002-05-21
140,New York,50 Cent,I Get Money,spotify:track:1FKFCvi0i46qEJLZSEBH8p,223720,53,2007-01-01
141,New York,Neil Diamond,New York Boy,spotify:track:5zYYo11JcgC8BRCieL8mHA,159066,22,1969-12-13
142,New York,Judy Garland,I Happen to Like New York,spotify:track:5OqMdxbdJSCOvDcf7FM6M5,176293,12,2011-01-01
