,Unnamed: 0,city,state,artist,song,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
287,287,Davenport,Iowa,Kris Kristofferson,Big River,spotify:track:1ip07xbQWgehduEDY6j8r8,48,1985-05-01,,0.57,0.593,11.0,-14.75,0.0,0.102,0.0812,0.00167,0.317,0.767,197.177,audio_features,1ip07xbQWgehduEDY6j8r8,spotify:track:1ip07xbQWgehduEDY6j8r8,https://api.spotify.com/v1/tracks/1ip07xbQWgehduEDY6j8r8,https://api.spotify.com/v1/audio-analysis/1ip07xbQWgehduEDY6j8r8,167213.0,4.0
288,288,Davenport,Iowa,Kris Kristofferson,Big River,spotify:track:1ip07xbQWgehduEDY6j8r8,48,1985-05-01,,0.57,0.593,11.0,-14.75,0.0,0.102,0.0812,0.00167,0.317,0.767,197.177,audio_features,1ip07xbQWgehduEDY6j8r8,spotify:track:1ip07xbQWgehduEDY6j8r8,https://api.spotify.com/v1/tracks/1ip07xbQWgehduEDY6j8r8,https://api.spotify.com/v1/audio-analysis/1ip07xbQWgehduEDY6j8r8,167213.0,4.0
289,289,Davenport,Iowa,Kris Kristofferson,Big River,spotify:track:1ip07xbQWgehduEDY6j8r8,48,1985-05-01,,0.57,0.593,11.0,-14.75,0.0,0.102,0.0812,0.00167,0.317,0.767,197.177,audio_features,1ip07xbQWgehduEDY6j8r8,spotify:track:1ip07xbQWgehduEDY6j8r8,https://api.spotify.com/v1/tracks/1ip07xbQWgehduEDY6j8r8,https://api.spotify.com/v1/audio-analysis/1ip07xbQWgehduEDY6j8r8,167213.0,4.0
290,290,Davenport,Iowa,"Hank Williams, Jr.",Big River,spotify:track:4nYi9VpKh10CO4dRGjMUER,9,2002-09-24,,0.435,0.873,4.0,-7.429,1.0,0.192,0.246,0.00263,0.14,0.729,204.107,audio_features,4nYi9VpKh10CO4dRGjMUER,spotify:track:4nYi9VpKh10CO4dRGjMUER,https://api.spotify.com/v1/tracks/4nYi9VpKh10CO4dRGjMUER,https://api.spotify.com/v1/audio-analysis/4nYi9VpKh10CO4dRGjMUER,185693.0,4.0
291,291,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
292,292,Davenport,Iowa,Willie Nelson,I've Been Everywhere,spotify:track:4ErwbKMVeLVp8gPnnCAsZq,15,1985-04-01,,0.724,0.558,2.0,-15.234,1.0,0.22,0.572,4.61e-06,0.146,0.654,126.853,audio_features,4ErwbKMVeLVp8gPnnCAsZq,spotify:track:4ErwbKMVeLVp8gPnnCAsZq,https://api.spotify.com/v1/tracks/4ErwbKMVeLVp8gPnnCAsZq,https://api.spotify.com/v1/audio-analysis/4ErwbKMVeLVp8gPnnCAsZq,173133.0,4.0
293,293,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
294,294,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
295,295,Davenport,Iowa,Willie Nelson,I've Been Everywhere,spotify:track:4ErwbKMVeLVp8gPnnCAsZq,15,1985-04-01,,0.724,0.558,2.0,-15.234,1.0,0.22,0.572,4.61e-06,0.146,0.654,126.853,audio_features,4ErwbKMVeLVp8gPnnCAsZq,spotify:track:4ErwbKMVeLVp8gPnnCAsZq,https://api.spotify.com/v1/tracks/4ErwbKMVeLVp8gPnnCAsZq,https://api.spotify.com/v1/audio-analysis/4ErwbKMVeLVp8gPnnCAsZq,173133.0,4.0
296,296,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
