,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,error.status,error.message
2108,2108,Carolina,Puerto Rico,Landl & Co.,Dinah,spotify:track:3SxjCzmgbxGfc9sLqGHaOr,27,1988-01-01,0.411,0.291,0.0,-15.075,0.0,0.035,0.854,0.00182,0.446,0.736,185.313,audio_features,3SxjCzmgbxGfc9sLqGHaOr,spotify:track:3SxjCzmgbxGfc9sLqGHaOr,https://api.spotify.com/v1/tracks/3SxjCzmgbxGfc9sLqGHaOr,https://api.spotify.com/v1/audio-analysis/3SxjCzmgbxGfc9sLqGHaOr,189333.0,4.0,,,
2109,2109,Carolina,Puerto Rico,The Magic City Jazz Band,Dinah,spotify:track:7vKJyEgY64NZMh8oTFjZHT,1,2004-01-01,0.508,0.499,8.0,-9.493,1.0,0.0635,0.776,0.604,0.0683,0.96,194.365,audio_features,7vKJyEgY64NZMh8oTFjZHT,spotify:track:7vKJyEgY64NZMh8oTFjZHT,https://api.spotify.com/v1/tracks/7vKJyEgY64NZMh8oTFjZHT,https://api.spotify.com/v1/audio-analysis/7vKJyEgY64NZMh8oTFjZHT,194413.0,4.0,,,
2110,2110,Carolina,Puerto Rico,Boulder Acoustic Society,Dinah,spotify:track:4BPx0aaFMZCJUSVFspMaS7,0,2004-10-21,0.696,0.411,2.0,-13.41,0.0,0.0526,0.838,0.239,0.267,0.651,97.61,audio_features,4BPx0aaFMZCJUSVFspMaS7,spotify:track:4BPx0aaFMZCJUSVFspMaS7,https://api.spotify.com/v1/tracks/4BPx0aaFMZCJUSVFspMaS7,https://api.spotify.com/v1/audio-analysis/4BPx0aaFMZCJUSVFspMaS7,237440.0,4.0,,,
2111,2111,Carolina,Puerto Rico,Doug Riley,Dinah,spotify:track:0aQ9ccLzEPJQJfnw35Nr1t,0,2013-12-30,0.709,0.45,2.0,-9.516,1.0,0.0518,0.42,0.395,0.467,0.79,130.21,audio_features,0aQ9ccLzEPJQJfnw35Nr1t,spotify:track:0aQ9ccLzEPJQJfnw35Nr1t,https://api.spotify.com/v1/tracks/0aQ9ccLzEPJQJfnw35Nr1t,https://api.spotify.com/v1/audio-analysis/0aQ9ccLzEPJQJfnw35Nr1t,183067.0,4.0,,,
2112,2112,Carolina,Puerto Rico,Corey Smith,Carolina,spotify:track:5ZSS2XXNiVJcIApl6N2UTl,32,2011-06-21,0.596,0.682,2.0,-6.983,1.0,0.0318,0.0138,1.39e-05,0.186,0.61,107.18,audio_features,5ZSS2XXNiVJcIApl6N2UTl,spotify:track:5ZSS2XXNiVJcIApl6N2UTl,https://api.spotify.com/v1/tracks/5ZSS2XXNiVJcIApl6N2UTl,https://api.spotify.com/v1/audio-analysis/5ZSS2XXNiVJcIApl6N2UTl,189205.0,4.0,,,
2113,2113,Carolina,Puerto Rico,New Orleans Jazz Vipers,Dinah,spotify:track:6M9rA8Ql7Tfd8DH0NiQJIg,11,2015-01-05,0.312,0.255,2.0,-11.036,1.0,0.0457,0.967,0.0,0.948,0.387,178.161,audio_features,6M9rA8Ql7Tfd8DH0NiQJIg,spotify:track:6M9rA8Ql7Tfd8DH0NiQJIg,https://api.spotify.com/v1/tracks/6M9rA8Ql7Tfd8DH0NiQJIg,https://api.spotify.com/v1/audio-analysis/6M9rA8Ql7Tfd8DH0NiQJIg,252467.0,4.0,,,
2114,2114,Carolina,Puerto Rico,George Lewis & the New Orleans Jazzband,Dinah,spotify:track:2wHUqAo3d0Gxet5TGCBfnH,0,2014-01-21,0.574,0.655,3.0,-11.939,1.0,0.171,0.764,0.0214,0.74,0.717,108.46,audio_features,2wHUqAo3d0Gxet5TGCBfnH,spotify:track:2wHUqAo3d0Gxet5TGCBfnH,https://api.spotify.com/v1/tracks/2wHUqAo3d0Gxet5TGCBfnH,https://api.spotify.com/v1/audio-analysis/2wHUqAo3d0Gxet5TGCBfnH,349773.0,4.0,,,
2115,2115,Carolina,Puerto Rico,Wednesday 13,Dead Carolina,spotify:track:2ATj0FfPkJAC3MI6QVzbZc,12,2008-04-29,0.493,0.941,2.0,-4.084,0.0,0.113,0.0004,0.0,0.0943,0.154,123.975,audio_features,2ATj0FfPkJAC3MI6QVzbZc,spotify:track:2ATj0FfPkJAC3MI6QVzbZc,https://api.spotify.com/v1/tracks/2ATj0FfPkJAC3MI6QVzbZc,https://api.spotify.com/v1/audio-analysis/2ATj0FfPkJAC3MI6QVzbZc,232453.0,4.0,,,
2116,2116,Carolina,Puerto Rico,Balsam Range,East Virginia Blues,spotify:track:0mFErfI7fGpwQA3KqF4W6l,28,2010-09-21,0.558,0.831,9.0,-6.656,1.0,0.0318,0.459,0.00101,0.258,0.883,140.021,audio_features,0mFErfI7fGpwQA3KqF4W6l,spotify:track:0mFErfI7fGpwQA3KqF4W6l,https://api.spotify.com/v1/tracks/0mFErfI7fGpwQA3KqF4W6l,https://api.spotify.com/v1/audio-analysis/0mFErfI7fGpwQA3KqF4W6l,172133.0,4.0,,,
2117,2117,Carolina,Puerto Rico,Fletcher Henderson & His Orchestra,Dinah,spotify:track:3ZxcXFcI7Ek0IZcpGIj8Mr,5,1990-01-01,0.715,0.246,10.0,-10.556,1.0,0.0617,0.972,7.25e-05,0.0962,0.826,95.198,audio_features,3ZxcXFcI7Ek0IZcpGIj8Mr,spotify:track:3ZxcXFcI7Ek0IZcpGIj8Mr,https://api.spotify.com/v1/tracks/3ZxcXFcI7Ek0IZcpGIj8Mr,https://api.spotify.com/v1/audio-analysis/3ZxcXFcI7Ek0IZcpGIj8Mr,137067.0,4.0,,,
2118,2118,Carolina,Puerto Rico,Billy Usselton,Dinah,spotify:track:0lMu8omPpN2oS30DgIwb7l,10,2012,0.771,0.419,7.0,-12.113,1.0,0.0664,0.984,5.62e-05,0.312,0.895,135.443,audio_features,0lMu8omPpN2oS30DgIwb7l,spotify:track:0lMu8omPpN2oS30DgIwb7l,https://api.spotify.com/v1/tracks/0lMu8omPpN2oS30DgIwb7l,https://api.spotify.com/v1/audio-analysis/0lMu8omPpN2oS30DgIwb7l,160760.0,4.0,,,
2119,2119,Carolina,Puerto Rico,Ben Bernie,Dinah,spotify:track:4x4mCnd3cKCqbi1llDMEsi,0,2006-11-01,0.577,0.378,5.0,-16.411,0.0,0.15,0.881,0.178,0.232,0.876,119.286,audio_features,4x4mCnd3cKCqbi1llDMEsi,spotify:track:4x4mCnd3cKCqbi1llDMEsi,https://api.spotify.com/v1/tracks/4x4mCnd3cKCqbi1llDMEsi,https://api.spotify.com/v1/audio-analysis/4x4mCnd3cKCqbi1llDMEsi,154187.0,4.0,,,
