,Unnamed: 0,city,state,artist,song,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3856,3856,Reading,Pennsylvania,King Louie,That's a Fact,spotify:track:0ahqaWnIMwbMZV0NPqxLfj,0,2014-01-12,,0.805,0.503,8.0,-12.101,1.0,0.381,0.0102,0.0,0.147,0.222,160.015,audio_features,0ahqaWnIMwbMZV0NPqxLfj,spotify:track:0ahqaWnIMwbMZV0NPqxLfj,https://api.spotify.com/v1/tracks/0ahqaWnIMwbMZV0NPqxLfj,https://api.spotify.com/v1/audio-analysis/0ahqaWnIMwbMZV0NPqxLfj,200287.0,4.0
3857,3857,Reading,Pennsylvania,"Speech, The Vagabond Family",Seeing for the First Time,spotify:track:2uulvJbF9pjhWqA9xLmIIn,22,2020-05-26,,0.783,0.708,7.0,-8.188,1.0,0.123,0.0512,0.0,0.104,0.686,102.02,audio_features,2uulvJbF9pjhWqA9xLmIIn,spotify:track:2uulvJbF9pjhWqA9xLmIIn,https://api.spotify.com/v1/tracks/2uulvJbF9pjhWqA9xLmIIn,https://api.spotify.com/v1/audio-analysis/2uulvJbF9pjhWqA9xLmIIn,217238.0,4.0
3858,3858,Reading,Pennsylvania,Aidan Knight,Slacker II,error,error,error,,,,,,,,,,,,,,,,,,,
3859,3859,Reading,Pennsylvania,Fickle Friends,Eats Me Up,spotify:track:5kKMlvKfOqgEaR5VjSNy3r,42,2020-03-04,,0.5,0.639,1.0,-7.957,0.0,0.172,0.291,0.0,0.153,0.489,89.777,audio_features,5kKMlvKfOqgEaR5VjSNy3r,spotify:track:5kKMlvKfOqgEaR5VjSNy3r,https://api.spotify.com/v1/tracks/5kKMlvKfOqgEaR5VjSNy3r,https://api.spotify.com/v1/audio-analysis/5kKMlvKfOqgEaR5VjSNy3r,185813.0,4.0
3860,3860,Reading,Pennsylvania,Studio Union,"Medley (If, Diary, Make It With You, Sweet Surrender)",spotify:track:6uSXlw3QE879hXoF0SiA0i,0,2011-10-01,,0.281,0.283,4.0,-13.887,0.0,0.0344,0.695,0.00406,0.344,0.233,170.706,audio_features,6uSXlw3QE879hXoF0SiA0i,spotify:track:6uSXlw3QE879hXoF0SiA0i,https://api.spotify.com/v1/tracks/6uSXlw3QE879hXoF0SiA0i,https://api.spotify.com/v1/audio-analysis/6uSXlw3QE879hXoF0SiA0i,234360.0,4.0
3861,3861,Reading,Pennsylvania,This Century,Biography of Heartbreak,spotify:track:3p036ZCxl3sVn9bPncbuCG,26,2013-05-14,,0.632,0.928,1.0,-3.17,1.0,0.0484,0.191,0.0,0.0807,0.938,83.037,audio_features,3p036ZCxl3sVn9bPncbuCG,spotify:track:3p036ZCxl3sVn9bPncbuCG,https://api.spotify.com/v1/tracks/3p036ZCxl3sVn9bPncbuCG,https://api.spotify.com/v1/audio-analysis/3p036ZCxl3sVn9bPncbuCG,201386.0,4.0
3862,3862,Reading,Pennsylvania,"Socrates, Alnitak Kid, Nelson Dialect",Oh Baby,spotify:track:2lvvIUapytpT6Br0FlfFwk,0,2019-02-22,,0.692,0.44,11.0,-8.196,0.0,0.362,0.221,0.0,0.487,0.525,83.011,audio_features,2lvvIUapytpT6Br0FlfFwk,spotify:track:2lvvIUapytpT6Br0FlfFwk,https://api.spotify.com/v1/tracks/2lvvIUapytpT6Br0FlfFwk,https://api.spotify.com/v1/audio-analysis/2lvvIUapytpT6Br0FlfFwk,238000.0,4.0
3863,3863,Reading,Pennsylvania,Skycycle,Ramona the Palm Reader,spotify:track:4m2auWeHIIcG8OqMFbQni3,1,1999-01-01,,0.516,0.579,4.0,-7.713,0.0,0.0395,0.00418,0.0,0.138,0.301,125.518,audio_features,4m2auWeHIIcG8OqMFbQni3,spotify:track:4m2auWeHIIcG8OqMFbQni3,https://api.spotify.com/v1/tracks/4m2auWeHIIcG8OqMFbQni3,https://api.spotify.com/v1/audio-analysis/4m2auWeHIIcG8OqMFbQni3,329893.0,4.0
3864,3864,Reading,Pennsylvania,Natas,Life After Death,spotify:track:6HPFjWeAqboIwVE4U1ySb5,8,1992,,0.45,0.595,11.0,-11.324,1.0,0.453,0.000895,0.000105,0.398,0.734,175.825,audio_features,6HPFjWeAqboIwVE4U1ySb5,spotify:track:6HPFjWeAqboIwVE4U1ySb5,https://api.spotify.com/v1/tracks/6HPFjWeAqboIwVE4U1ySb5,https://api.spotify.com/v1/audio-analysis/6HPFjWeAqboIwVE4U1ySb5,254000.0,4.0
3865,3865,Reading,Pennsylvania,DJ's Choice,ABC,spotify:track:1RIrWNdZYDmOSeQ30iQSJr,25,2019-12-20,,0.851,0.918,0.0,-6.466,1.0,0.0382,0.0432,0.0077,0.0688,0.973,112.989,audio_features,1RIrWNdZYDmOSeQ30iQSJr,spotify:track:1RIrWNdZYDmOSeQ30iQSJr,https://api.spotify.com/v1/tracks/1RIrWNdZYDmOSeQ30iQSJr,https://api.spotify.com/v1/audio-analysis/1RIrWNdZYDmOSeQ30iQSJr,204346.0,4.0
3866,3866,Reading,Pennsylvania,Peeps Sing Along,ABC,spotify:track:51nKpPLGXOq6nrVk831jXD,36,2015-05-05,,0.665,0.126,11.0,-9.779,1.0,0.028,0.939,0.0,0.111,0.587,77.022,audio_features,51nKpPLGXOq6nrVk831jXD,spotify:track:51nKpPLGXOq6nrVk831jXD,https://api.spotify.com/v1/tracks/51nKpPLGXOq6nrVk831jXD,https://api.spotify.com/v1/audio-analysis/51nKpPLGXOq6nrVk831jXD,134416.0,4.0
