state,city,song,artist,uris,duration_ms,popularity,date
Idaho,Coeur d'Alene,Coeur d'Alene,The Head and the Heart,spotify:track:0Flo48Y9PgdexredGUdmgR,261786,14,2011-04-04
Idaho,Coeur d'Alene,Coeur d'Alene,Alter Bridge,spotify:track:6OsKc3UODc9IKokU2fKPnu,270498,28,2010-01-01
Idaho,Coeur d'Alene,Coeur d'Alene,Tyson Motsenbocker,spotify:track:52CPqvgFVhi19Yi0YseG7q,154493,31,2017-09-01
Ohio,Columbus,Road Outside Columbus,O.A.R.,spotify:track:5OGFUn7cXHkiiDi4BEwgsi,475826,37,2012
Colorado,Commerce City,Commerce City Sister,DeVotchKa,spotify:track:6kVvIWLnWH1MgF4BIIPiwn,227578,15,2003-01-01
Colorado,Cripple Creek,Up On Cripple Creek,The Band,spotify:track:60VcYHxoyOdZyFb1EaKJdN,274893,63,1969-09-22
Texas,Dallas,Big D,from The Most Happy Fella,spotify:track:2evXGSoy9RQUvdtYWGFq0f,339440,6,1962
Texas,Dallas,Dallas,Alan Jackson,spotify:track:6IX9AJCSNoYfnp3kw1wU7K,164000,47,2015-11-06
Texas,Dallas,Dallas,The Flatlanders,spotify:track:72ZCJnJ62wQCGc1OExu2E2,181613,36,2012-08-08
Texas,Dallas,Dallas,Holly McNarland,spotify:track:5eisckZNCewlWSBMMJNR4E,281640,5,2002-01-01
Texas,Dallas,Dallas,Silver Jews,spotify:track:2oMrFxXxxpqSpMldwEeU8g,253973,31,1996-10-01
Texas,Dallas,Dallas,Johnny Winter,spotify:track:7MaOSiOEtfY7dF2TEjmDTG,165533,25,1969
Texas,Dallas,Dallas 1pm,Saxon,spotify:track:5LbSYBg95bl4Yup6CWCRay,389735,37,1980
Texas,Dallas,Dallas After Midnight,Ray Wylie Hubbard (with Jack Ingram),spotify:track:5ywltcGIw8D8IaDmIOpcrG,282346,22,2005-01-25
Texas,Dallas,Goin Through The Big D,Mark Chesnutt,spotify:track:4s6Q9zPmiYcpo5MR7uoVnt,155493,55,1996-01-01
Texas,Dallas,He's in Dallas,- Reba McEntire,spotify:track:5GebQ5Ymk6YV7uGQQAvtZ0,185093,27,1991-01-01
Texas,Dallas,Hot Night in Dallas,Moon Martin,spotify:track:3dRS94HPc97H8Tm9v0BOMi,196693,21,1978-01-01
Texas,Dallas,I Drove Her To Dallas,Ty England,spotify:track:7kbEbWHFLevRponZaXN4B1,213666,11,1999-11-23
Texas,Dallas,People In Dallas Got Hair,Waylon Jennings,spotify:track:5BoHdxkWOEPeXM8Jr5apYB,138065,20,2006-09-26
Texas,Dallas,Run,George Strait,spotify:track:1EXMjx4nCIvYTaY5CZMUSl,245426,55,2001-01-01
Texas,Dallas,Truckin',Grateful Dead,spotify:track:4Z9ItyTyjkPRF69wl8btzZ,487800,10,2020-07-10
Texas,Dallas,Trudy,the Charlie Daniels Band,spotify:track:17sf02DzW9rvp2C6pgZk7n,288666,46,1974
Illinois,Decatur,"Decatur, or, Round of Applause for Your Stepmother!",Sufjan Stevens,spotify:track:31s3BSh3KbiOcOLURdab8f,183906,44,2005-07-05
Colorado,Denver,40 Miles from Denver,Yonder Mountain String Band,spotify:track:66rH0YhjRwi2JUhjRKWqoT,226586,43,1999-03-12
Colorado,Denver,Denver,Larry Gatlin & The Gatlin Brothers,spotify:track:27k9n9Krr0GXmuZ70Hn2rE,174733,24,1984-05-01
Colorado,Denver,Denver,Willie Nelson,spotify:track:6tUusq5keNmGvTV2cFTwaC,53266,34,1975-05-01
Colorado,Denver,From Denver to L.A.,Elton John,spotify:track:3fZMk63tBNdwBl9KKbJe9D,565597,33,2014-06-15
Colorado,Denver,Get Out of Denver,Bob Seger,spotify:track:0e9YaZqnRi3QYSMUIdcarE,320240,34,1976-04-12
Colorado,Denver,O.D.'d in Denver,Hank Williams Jr.,spotify:track:7MJe06aTq57id8qtb1s2du,160400,52,1979
Colorado,Denver,Things to Do in Denver When You're Dead,Warren Zevon,spotify:track:61LD6AsNwjp5KtgeunWRVp,172693,28,1991-10-15
Iowa,Des Moines,"Des Moines, Iowa",The Milk Carton Kids,spotify:track:3RvPoMgnukUcOVVLbFQINp,100186,22,2004-09-14
Georgia,Doraville,Doraville,Atlanta Rhythm Section,spotify:track:7bzo4nqa4nDzwpnkDcigbt,217129,19,2001
Texas,El Paso,All The Way Down To El Paso,Elton John,spotify:track:0AAKvxkoLPYRr9vYDhOfxn,168186,22,1970-04-10
Texas,El Paso,El Paso,The Gourds,spotify:track:0sUmBMA7fs6PjhNZlIAuL1,190493,21,2000-01-01
Texas,El Paso,El Paso,Marty Robbins,spotify:track:4f8hBeMXMvssn6HtFAtblo,259306,62,1959
Texas,El Paso,El Paso,Old 97's,spotify:track:1ibplmpfwz0z0YGXteyPhK,298146,15,2006-06-20
Texas,El Paso,El Paso,Taking Back Sunday,spotify:track:7DqenBmkIHECkplDnfgwpO,196440,31,2011-06-28
Texas,El Paso,El Paso City,Marty Robbins,spotify:track:4CIaUS9qVxS6RsQBnC37EU,251773,40,1976
Texas,El Paso,Feleena (From El Paso),Marty Robbins,spotify:track:2jqx9Oq9ZErm5ywDblnvHi,498386,39,1996-09-13
Texas,El Paso,Texas Women,Hank Williams Jr.,spotify:track:7Iw4vc4pr9QbX6dbcouYPY,149306,41,1981
Oregon,Eugene,Eugene,Sufjan Stevens,spotify:track:161iDrAGFqkzeXSaxworBs,146893,54,2015-03-31
Oregon,Eugene,"Eugene, Oregon",Dolly Parton,spotify:track:1ajtsjAhOHBQwxkbamy2Ty,173680,14,2009-10-30
Michigan,Flint,Flint (For the Unemployed and Underpaid),Sufjan Stevens,spotify:track:4oWTPL6ihHK1JNwDcJ94z4,223893,41,2003-07-01
Florida,Fort Lauderdale,Fort Lauderdale Chamber of Commerce,Elvis Presley,spotify:track:2Mp8l8gam0wRVnbZQDHLg5,90706,19,1965-03-01
Florida,Fort Lauderdale,All Signs Point to Lauderdale,A Day to Remember,spotify:track:15qf0H31MChhqKr2zvejla,197200,64,2011-10-01
Texas,Fort Worth,Dallas Days and Fort Worth Nights,Chris LeDoux,spotify:track:4SHDceuWcvcq8eAze9zfQV,166280,29,1999-01-01
Texas,Fort Worth,Does Fort Worth Ever Cross Your Mind,George Strait,spotify:track:5CwZU4BVFX0dyqG1gKfHHr,154360,55,1984-01-01
Florida,Gainesville,City of Gainesville,Less Than Jake,spotify:track:3kjKE5qMHv79J8TYKYwLiK,113853,19,2008-06-24
Florida,Gainesville,Gainesville,Tom Petty,spotify:track:3zrFI5zwOOrW2QURRPJeh8,245253,46,2018-09-20
Florida,Gainesville,Gainesville Rock City,Less Than Jake,spotify:track:715BWutkWTksYf1pHAUYGp,187600,43,2012-10-09
