song_state,song_artist,song_name
New York,Barry Manilow,The Gonzo Hits Medley
New York,Jadakiss,New York
New York,Fabolous,Brooklyn Ft Jay-Z & Uncle Murda
New York,Newsies (Original Broadway Cast),King Of New York
New York,Oleta Adams,New York State of Mind
New York,Buju Banton,King of NY
New York,Nat King Cole,On the Sidewalks of New York
New York,Kidz Bop Kids,Wake Up
New York,50 Cent,Strong Enough
New York,Buju Banton,King of N.Y.
New York,The Darts,The Boy from New York City
New York,The Charlatans UK,NYC (There's No Need to Stop)
New York,Vinnie Colaiuta,New York Morning
New York,"Berner, Jon Z, Alemán",Mi Novia
New York,Godley & Creme,An Englishman In New York
New York,Le Club,Un Fait Diver et Rien de Plus
New York,Juju,Englishman In New York
New York,Erika Van Pelt,New York State of Mind
New York,Fleetwood Mac,The City
New York,Waylon Jennings,Too Dumb for New York City
New York,Jennifer Lopez,Gotta Be There
New York,Michael Brecker,This Land Is Your Land
New York,"Prodigy & Rell, McGruff, Lil' Fame, Raekwon, Fat Joe, Ghostface Killah, N.O.R.E., DJ Kay Slay, Sheek Louch",90 's Flow
New York,Disney,Wake Up
New York,Alicia Keys,She Don't Really Care/1 Luv
New York,The Cranberries,New New York
New York,Odyssey,Native New Yorker
New York,Dido,NYC
New York,Rita Ora,New York Raining
New York,Fausto Papetti,Arthur's Theme (Best That You Can Do)
New York,JUJU,New York State Of Mind
New York,Steely Dan,Daddy Don't Live in That New York City No More
New York,Mobb Deep,Money [Previously Unreleased Track]
New York,Everclear,The New York Times
New York,"Fat Joe, 50 Cent, DJ Kay Slay",Free Again
New York,Grand Puba,I Like It (I Wanna Be Where You Are)
New York,Grand Puba,I Like It
New York,"Gucci Mane, Mike WiLL Made It, Chief Keef, Peewee Longway",Stop-Start
New York,Linda Ronstadt,Talk to Me of Mendocino
New York,Nelly,Liv Tonight
New York,Pet Shop Boys,Paninaro
New York,Ziggy Marley,Head Top
New York,Pet Shop Boys,Paninaro '95
New York,Patty Parker,"Goodbye New York, Hello L.A."
New York,谢金燕,YOYO舞步
New York,Peter Malick,New York City
New York,Q-Tip,Ital (The Universal Side)
New York,Method Man,Ya'Meen
New York,Jimmy Fallon,History of Rap
New York,阿川 泰子,ニューヨークの秋
New York,Passenger,Riding to New York
New York,Passenger,Riding to New York (Acoustic)
New York,Passenger,Untitled [Bonus Track]
New York,Johnny Gregory,Arthur's Theme (Best That You Can Do)
New York,Ace Cannon,Arthur's Theme (Best That You Can Do)
New York,THE 虎舞竜,ひとりぼっちのクリスマス ～Alone At X'mas～
New York,八神 純子,パープル タウン ～You Oughta Know By Now～
New York,八神 純子,パープルタウン ～You Oughta Know By Now～
New York,刀根 麻理子,Newyork Fantasy
New York,Maybe_grady,The Sewers of New York
New York,Sam Smith,Latch
New York,Florence + the Machine,The End of Love
