state,city,song,artist
 Tennessee,Memphis,Memphis Blues,  W. C. Handy
 Tennessee,Memphis,Memphis Skyline,  Rufus Wainwright
 Tennessee,Memphis,Memphis Soul Stew,  King Curtis
 Tennessee,Memphis,"Memphis, Tennessee",  Chuck Berry
 Tennessee,Memphis,Messed Up In Memphis,  Darryl Worley
 Tennessee,Memphis,New Minglewood Blues,  Grateful Dead
 Tennessee,Memphis,Night Train to Memphis,  Roy Acuff
 Tennessee,Memphis,Nothing 'Bout Memphis,  Trisha Yearwood
 Tennessee,Memphis,Pride (In the Name of Love),  U2
 Tennessee,Memphis,Queen of Memphis,  Confederate Railroad
 Tennessee,Memphis,Streets of West Memphis,  Crime & the City Solution[41]
 Tennessee,Memphis,That's How I Got to Memphis,  Bob Bare
 Tennessee,Memphis,Truck Drivin' Man,  Lynyrd Skynyrd
 Tennessee,Memphis,Walking in Memphis,  Marc Cohn
 Tennessee,Memphis,West Memphis,  Lucinda Williams
 Tennessee,Memphis,What's Your Mama's Name,   Tanya Tucker
 Tennessee,Memphis,Wrong Side of Memphis,  Trisha Yearwood
 Wisconsin,Milwaukee,Milwaukee Polka,  Frankie Yankovic
 Wisconsin,Milwaukee,What Made Milwaukee Famous (Has Made a Loser Out of Me),  Jerry Lee Lewis
 Wisconsin,Milwaukee,Holocene,  Bon Iver
 Minnesota,Minneapolis,Always Coming Back Home to You,  Atmosphere
 Minnesota,Minneapolis,Christmas Card From a Hooker in Minneapolis,  Tom Waits
 Minnesota,Minneapolis,Lake Street is for Lovers,  Lifter Puller
 Minnesota,Minneapolis,Little Green Apples, sung  O.C. Smith
 Minnesota,Minneapolis,Mall of America,  Desaparecidos
 Minnesota,Minneapolis,Minneapolis,  that dog
 Minnesota,Minneapolis,Minneapolis,  Lucinda Williams
 Minnesota,Minneapolis,Minneapolis,  Bill Janovitz
 Minnesota,Minneapolis,MPLS Song,  Pinhead Gunpowder
 Minnesota,Minneapolis,Ninth and Hennepin,  Tom Waits
 Minnesota,Minneapolis,Positively Fourth Street,  Bob Dylan
 Minnesota,Minneapolis,Rock 'n' Roll is Alive (And it Lives in Minneapolis),  Prince
 Minnesota,Minneapolis,Shhh,   Atmosphere
 Minnesota,Minneapolis,Seeing Double at the Triple Rock,  NOFX
 Minnesota,Minneapolis,Skyway,  The Replacements
 Minnesota,Minneapolis,Southtown Girls,  The Hold Steady
 Minnesota,Minneapolis,Stuck Between Stations,  The Hold Steady
 Minnesota,Minneapolis,Sunshine,  Atmosphere
 Minnesota,Minneapolis,Uptown,  Prince
 Minnesota,Minneapolis,Your Little Hoodrat Friend,  The Hold Steady
 Alabama,Mobile,Stuck Inside of Mobile with the Memphis Blues Again,  Bob Dylan
 Alabama,Montgomery,Midnight in Montgomery,   Alan Jackson
 Alabama,Montgomery,"Montgomery, Alabama",  David Yazbek
 Alabama,Montgomery,Montgomery in the Rain,  Hank Williams Jr.
 Alabama,Montgomery,The Ride,   David Allan Coe
 Alabama,Montgomery,Tokyo Storm Warning,  Elvis Costello
 Alabama,Montgomery,Angel From Montgomery,  John Prine
 Indiana,Muncie,I Wanna Talk About Me,  To Keith
 Alabama,Muscle Shoals,Sweet Home Alabama,  Lynyrd Skynyrd
 Michigan,Muskegon,They Also Mourn Who Do Not Wear Black,  Sufjan Stevens
 Oklahoma,Muskogee,Okie from Muskogee,  Merle Haggard
 South Carolina,Myrtle Beach,"Dancin', Shaggin' on the Boulevard",  Alabama
 South Carolina,Myrtle Beach,Ocean Boulevard,  Band of Oz
 South Carolina,Myrtle Beach,19 You + Me,  Dan + Shay
 South Carolina,Myrtle Beach,Myrtle Beach Summer 1974,  Yung Gravy
 California,Olema,Hippie From Olema,  The Youngbloods
 Washington,Olympia,Rock Star,  Hole
 Washington,Olympia,Olympia WA.,  Rancid
 Nebraska,Omaha,Convoy,  C. W. McCall
 Nebraska,Omaha,Omaha,  Counting Crows
 Nebraska,Omaha,(Ready or Not) Omaha Nebraska,  Bowling for Soup
 Nebraska,Omaha,Turn the Page,  Bob Seger
 Nebraska,Omaha,Uneasy Rider,  the Charlie Daniels Band
 Nebraska,Omaha,We're an American Band,  Grand Funk Railroad
 Nebraska,Omaha,Greater Omaha,  Desaparecidos
 Texas,Palestine,Wheels,  Kanude
 Florida,Panama City,Guitar Man,  Jerry Reed
 California,Pasadena,The Little Old Lady (From Pasadena),  Jan and Dean
 Florida,Pensacola,Pensacola,  Deerhunter
 Florida,Pensacola,Maybe Angels,  Sheryl Crow
 Illinois,Peoria,Prairie Fire That Wanders About,  Sufjan Stevens
 Pennsylvania,Philadelphia,I-76,  G. Love & Special Sauce
 Pennsylvania,Philadelphia,Bury me in Philly,  Dave Hause
 Pennsylvania,Philadelphia,Freedom of '76,  Ween
 Pennsylvania,Philadelphia,Fall in Philadelphia,  Hall & Oates
 Pennsylvania,Philadelphia,Goode Philadelphia,  Peter Cincotti
 Pennsylvania,Philadelphia,Is This America,  Skyhooks
 Pennsylvania,Philadelphia,Lancaster Avenue Blues,  Mischief Brew
 Pennsylvania,Philadelphia,Miss Philadelphia,  Musiq Soulchild
 Pennsylvania,Philadelphia,Motown Philly,  Boyz II Men
 Pennsylvania,Philadelphia,Philadelphia,  Neil Young
 Pennsylvania,Philadelphia,Philadelphia Freedom,  Elton John
 Pennsylvania,Philadelphia,Punk Rock Girl,  The Dead Milkmen
 Pennsylvania,Philadelphia,Sailing to Philadelphia,  Mark Knopfler
 Pennsylvania,Philadelphia,"Sit Down, John", from the musical 1776
 Pennsylvania,Philadelphia,Streets of Philadelphia,  Bruce Springsteen
 Pennsylvania,Philadelphia,Summertime,  DJ Jazzy Jeff & The Fresh Prince
 Pennsylvania,Philadelphia,Tenth Street,  Valencia
 Pennsylvania,Philadelphia,TSOP (The Sound of Philadelphia),  MFSB
 Pennsylvania,Philadelphia,South Street,  The Orlons
 Pennsylvania,Philadelphia,Yo Home to Bel-Air,  DJ Jazzy Jeff & The Fresh Prince
 Pennsylvania,Philadelphia,You Got Me,  The Roots
 Arizona,Phoenix,Anybody Going To San Antone,  Charley Pride
 Arizona,Phoenix,Arizona,  Scorpions
 Arizona,Phoenix,Bob in Phoenix,  Gorillaz
 Arizona,Phoenix,By the Time I Get to Phoenix,  Jimmy Webb
 Pennsylvania,Pittsburgh,31 (For Pittsburgh I Am Bound),  Ceann
 Pennsylvania,Pittsburgh,I'll Get  in Pittsburgh,  Jona Lewie
 Pennsylvania,Pittsburgh,I'm in Pittsburgh,  The Outcasts
 Pennsylvania,Pittsburgh,Ode to Pittsburgh,  Loudon Wainwright III
 Pennsylvania,Pittsburgh,Pittsburgh,"  Mary Lou Williams, featuring Leon Thomas[42][43]"
 Pennsylvania,Pittsburgh,Pittsburgh Makes Me Drunk,  Ceann
 Pennsylvania,Pittsburgh,"Pittsburgh, Pennsylvania",  Guy Mitchell
 Pennsylvania,Pittsburgh,Pittsburgh Sound (All In My Blood),  Wiz Khalifa
 Pennsylvania,Pittsburgh,Pittsburgh Town,  Pete Seeger
 Pennsylvania,Pittsburgh,Six Days on the Road,  Dave Dudley
 Illinois,Pittsfield,Pittsfield,  Sufjan Stevens
