,state,city,song,artist
280, Louisiana,New Orleans,I Know You Mardi Gras,  Wild Magnolias
281, Louisiana,New Orleans,I Love Louisiana,  Rosie Ledet
282, Louisiana,New Orleans,I Love New Orleans,  Ronnie Milsap
283, Louisiana,New Orleans,I Love To Wake Up In New Orleans,  Larry John McNally
284, Louisiana,New Orleans,I Love You Goode,  Thomas Dol
285, Louisiana,New Orleans,I Might Be Awhile In New Orleans,  Johnny Russell
286, Louisiana,New Orleans,I Thought I Heard New Orleans Say,  Dr. John
287, Louisiana,New Orleans,I Wanna Be the Big Chief,  Christopher Marsceill aka Reverend Chris
288, Louisiana,New Orleans,I Wanna Die in New Orleans,  DiNOLA
289, Louisiana,New Orleans,I Went To The Mardi Gras,  Snooks Eaglin
290, Louisiana,New Orleans,I Wish I Was in New Orleans,  Tom Waits
291, Louisiana,New Orleans,I'd Rather Be In New Orleans,  The Flying Neutrinos
292, Louisiana,New Orleans,If I Were Brave,  Shawn Colvin
293, Louisiana,New Orleans,If New Orleans Is Beat,  The Tragically Hip
294, Louisiana,New Orleans,Iko Iko,"  The Dixie Cups, 1965"
295, Louisiana,New Orleans,I'm Cousin Joe From New Orleans,  Cousin Joe
296, Louisiana,New Orleans,I'm Going Back To Louisiana, Bruce Channel
297, Louisiana,New Orleans,I'm Going To New Orleans,  Charles Mann
298, Louisiana,New Orleans,I'm Saving Up The Means To Get To New Orleans,  Al Jolson
299, Louisiana,New Orleans,I'm So New Orleans,  Kermit Ruffins
300, Louisiana,New Orleans,In The Clear,  Foo Fighters
301, Louisiana,New Orleans,In Color,  Jamey Johnson
302, Louisiana,New Orleans,In Good Old New Orleans,  Murphy Campo And The Jazz Saints
303, Louisiana,New Orleans,In New Orleans,  Lead Belly
304, Louisiana,New Orleans,In The Old French Quarter Of New Orleans  Maxine Daniels,
305, Louisiana,New Orleans,Indian Red,", traditional, first recorded  Danny Barker"
306, Louisiana,New Orleans,The Irish Went Down To New Orleans,  Charlie Spaniels Band
307, Louisiana,New Orleans,It's A New Orleans Thing,  Allen Toussaint
308, Louisiana,New Orleans,It's Christmas In Nu Awlins,  Gary U.S. Bonds
309, Louisiana,New Orleans,It's Mardi Gras,  Desire
310, Louisiana,New Orleans,I've Got the Blues for Rampart Street, (jazz tune)
311, Louisiana,New Orleans,Jackson Square,  Mason Jennings
312, Louisiana,New Orleans,Jambalaya,  Hank Williams
313, Louisiana,New Orleans,Jambalaya,  Van Morrison & Linda Gail Lew
314, Louisiana,New Orleans,Jammin' To New Orleans,  Risky Business
315, Louisiana,New Orleans,Jazz At Lu Charlie's,  Giorgio Gaslini Quartet
316, Louisiana,New Orleans,Jazz Music,"  Gang Starr (this is a different song than the more famous ""Jazz Thing"")"
317, Louisiana,New Orleans,Jazz Thing,  Gang Starr
318, Louisiana,New Orleans,Jazzfest,  Paul Soniat
319, Louisiana,New Orleans,Je T'Aime N'Orleans,  Big Boy Pete (aka as Peter Miller (musician))
320, Louisiana,New Orleans,Jesus in New Orleans,  Over the Rhine
321, Louisiana,New Orleans,Jockamo,  Sugar Boy Crawford
322, Louisiana,New Orleans,John Lennon In New Orleans,  Colin Linden
323, Louisiana,New Orleans,Johnny B. Goode,  Chuck Berry
324, Louisiana,New Orleans,Jolie Blon,  Zachary Richard
325, Louisiana,New Orleans,Jump City,  Willy DeVille
326, Louisiana,New Orleans,Just Off Decatur Street,  Willy DeVille
327, Louisiana,New Orleans,Just Outside New Orleans,  Earl Stanley & The Stereos
328, Louisiana,New Orleans,Key to My Heart,  Willy DeVille
329, Louisiana,New Orleans,King Creole,"  Elvis Presley from the film, 1958"
330, Louisiana,New Orleans,King of New Orleans,"  Better Than Ezra from Friction, Ba, 1996"""
331, Louisiana,New Orleans,King of the Zulus,  Louis Armstrong
332, Louisiana,New Orleans,King Zulu Parade,  Johnny Wiggs
333, Louisiana,New Orleans,Kingfish,  Randy Newman
334, Louisiana,New Orleans,Knives of New Orleans,"  Eric Church, 2015"
335, Louisiana,New Orleans,King of the Mardi Gras,  Charmaine Neville
336, Louisiana,New Orleans,La Chanson De Les Mardi Gras:  Dewey Balfa & The Balfa Brothers,
337, Louisiana,New Orleans,La Chanson De Mardi Gras,  Anúna
338, Louisiana,New Orleans,La Chanson De Mardi Gras,  BeauSoleil
339, Louisiana,New Orleans,La Chanson Des Mardi Gras,  Zachary Richard
340, Louisiana,New Orleans,La Danse De Mardi Gras, (traditional Cajun tune)
341, Louisiana,New Orleans,La Harpe Street Blues,  Climax Jazz Band
342, Louisiana,New Orleans,La La,"  Lil Wayne from Tha Carter III, 2008"
343, Louisiana,New Orleans,Lady Marmalade,"  Labelle, 1974"
344, Louisiana,New Orleans,Lakes Of Pontchartrain,
345, Louisiana,New Orleans,Lakeshore Drive At Milneburg,  Doc Evans With Armand Hug Trio
346, Louisiana,New Orleans,Land Grab,  Dr. John
347, Louisiana,New Orleans,Land Long Gone,  Paul Soniat
348, Louisiana,New Orleans,Last Train To New Orleans,  the Sugar Lumps
349, Louisiana,New Orleans,The Last Waltz,  Bob Charles
350, Louisiana,New Orleans,Leaving New Orleans,  Jordan Davis (singer)
351, Louisiana,New Orleans,The Legend of the Last of the Outlaw Truckers,  The Dandy Warhols
352, Louisiana,New Orleans,Les Mardi Gras (Riders In The Sky),  Stan Jones (songwriter)
353, Louisiana,New Orleans,Les Rois de Bourbon Street,  Patrick Norman (singer)
354, Louisiana,New Orleans,Let's Impeach the President,  Neil Young
355, Louisiana,New Orleans,Let's Take A Ferryboat To New Orleans,  Louis Cottrell And His New Orleans Jazz Band
356, Louisiana,New Orleans,Letter From New Orleans,  Raymond Froggatt
357, Louisiana,New Orleans,The Levees Broke (Katrina),  Jay Electronica
358, Louisiana,New Orleans,Like a Real Cajun,  Michael Doucet
359, Louisiana,New Orleans,Limbo,  Bryan Ferry
360, Louisiana,New Orleans,Little Jewel Of The Vieux Carre,  Joe Barry (singer)
361, Louisiana,New Orleans,Lonely Mardi Gras,  Michael Hurtt And His Haunted Hearts
362, Louisiana,New Orleans,Long Live New Orleans,"  Reuben Wilson, Bernard Purdie, Grant Green Jr."
363, Louisiana,New Orleans,Long Way Back From Hell,  Danzig
364, Louisiana,New Orleans,Look For Me In New Orleans,  Tommy McCoy
365, Louisiana,New Orleans,Look Where We Have Been,  Christopher Marsceill aka Reverend Chris
366, Louisiana,New Orleans,Louisiana 1927," written  Randy Newman, performed  Aaron Neville and Marcia Ball"
367, Louisiana,New Orleans,Louisiana Blue,  Radney Foster
368, Louisiana,New Orleans,Louisiana Bound,  Big Joe Williams
369, Louisiana,New Orleans,Louisiana Love Call,  Maria Muldaur
370, Louisiana,New Orleans,Louisiana Love Shack,  Pat Boyack
371, Louisiana,New Orleans,Louisiana Lover Man,  Lonesome Sundown
372, Louisiana,New Orleans,Louisiana Man,"  Doug Kershaw, Tab Benoit"
373, Louisiana,New Orleans,Louisiana Rain,  Anders Osborne
374, Louisiana,New Orleans,Louisiana Santa,  Wayne Toups
375, Louisiana,New Orleans,Louisiana Style,  Tab Benoit
376, Louisiana,New Orleans,Louisiana Suite,  Tom Talbert Orchestra
377, Louisiana,New Orleans,Louisiana Sunday Afternoon,  Diane Schuur
378, Louisiana,New Orleans,Louisiana Sunshine,  Cyril Neville and Tab Benoit
379, Louisiana,New Orleans,Louisiana Woman,  Bryan Lee
380, Louisiana,New Orleans,Louisiana Zydeco,"  Clarence ""Gatemouth"" Brown"
381, Louisiana,New Orleans,Love in the Hot Afternoon,  Gene Watson
382, Louisiana,New Orleans,Love in New Orleans,  Los Rabanes
383, Louisiana,New Orleans,Love New Orleans,  Idris Muhammad
384, Louisiana,New Orleans,Loves Of New Orleans,", from Naughty Marietta"
385, Louisiana,New Orleans,Loving You Has Made Me Bananas,  Guy Marks
